date,city,neighborhood,property_type,price,size_sqft,rent,occupancy,days_on_market,rating,amenities_score,buyer_income,price_per_sqft,annual_rent
2024-06-10,Phoenix,Mesa,Condo,834041.31580579,1484.3725764603626,4236.74602617188,1,132,4.989782701437712,7.530860545330221,105110.64858991816,561.8813827689046,50840.95231406255
2024-07-20,Houston,Downtown,Single Family,406017.84452148847,1574.0330527627264,1218.582130520744,0,18,3.196559029908069,3.1361828992606124,79232.96227840475,257.94747054952256,14622.985566248928
2024-01-15,Houston,River Oaks,Single Family,357273.2090608836,2811.411745551286,1638.2896076849202,1,111,3.844215360978515,5.518372148695475,76302.40779112032,127.07964588474975,19659.475292219042
2024-12-12,Phoenix,Scottsdale,Townhouse,229147.28461981256,1757.4411392093966,978.420835671495,1,181,3.28893384422464,7.519221550016004,219501.65495349676,130.38689006841895,11741.05002805794
2024-09-10,New York,Brooklyn,Condo,1209751.278897735,1067.472569039097,5909.481972492689,1,30,3.805988416733015,4.982675038694245,62282.22044421734,1133.2855887685364,70913.78366991227
2024-01-23,Chicago,Wicker Park,Apartment,659464.6522490057,3318.724588861496,3946.796595710177,1,43,3.653015839058817,1.2529840855398442,100550.57222595508,198.71026793315144,47361.55914852212
2024-07-17,Phoenix,Scottsdale,Single Family,600067.0068938996,1427.238624418836,2392.3208885322,1,161,3.107193412550504,1.2345412364904718,76852.86503787749,420.4391589656171,28707.8506623864
2024-09-20,Los Angeles,Hollywood,Townhouse,1471593.2581563322,868.8579449360138,8505.06736470458,1,164,3.085607492515301,9.40616531182398,196902.0709530867,1693.709848351224,102060.80837645497
2024-04-01,Houston,The Heights,Townhouse,299122.4341867066,2382.6583240866507,1120.2941171928187,1,48,4.012523017653894,1.5632489653271526,165014.41446149812,125.54147238100948,13443.529406313824
2024-03-22,New York,Brooklyn,Condo,734173.7615184698,1084.7967629707864,4333.94952634675,1,148,4.052179000807804,1.0131106055767676,104110.15325861174,676.7846167865465,52007.39431616099
2024-05-09,New York,Queens,Condo,874305.6334862014,2150.4981794672785,5028.858155014582,1,144,4.4858679671896,3.357502253968097,163270.9276353428,406.5595785357904,60346.29786017498
2024-07-19,New York,Manhattan,Townhouse,981472.0903401888,2155.5894921617137,5598.413337850159,1,38,3.6499254413333535,5.642755054560877,110318.88862946564,455.31493538499683,67180.96005420192
2024-06-14,Los Angeles,Hollywood,Single Family,1159351.4511464122,2781.385742960985,5268.701860111604,1,169,3.890872244999852,1.4383638023636411,173624.941286824,416.8251218229799,63224.422321339254
2024-02-07,Phoenix,Tempe,Townhouse,628376.7850259512,2035.8932241311236,3298.3851262439434,1,79,4.070842200178393,2.509334878353495,131529.2761178363,308.6491853196914,39580.62151492732
2024-10-20,Chicago,Lincoln Park,Townhouse,204762.89179343585,2895.590211867386,788.3651255478769,0,181,4.190963444979291,3.4420147690727427,89848.49393039742,70.71542477047636,9460.381506574522
2024-03-18,Chicago,River North,Condo,249193.30917500216,2120.5914818199044,906.4302315455888,1,78,4.949817652616128,3.512039991545542,67299.78589212323,117.5112280282966,10877.162778547065
2024-07-28,Chicago,Lincoln Park,Apartment,486551.5477822991,1436.8310989872111,1919.7655712006929,1,190,3.264212819824527,5.062567010102651,117755.91056723052,338.6282132431975,23037.186854408315
2024-10-23,Los Angeles,Beverly Hills,Condo,965839.163797466,1990.9893686892408,3041.638898269496,1,57,4.065077667620475,6.666535880149618,54708.56326849623,485.10513365187984,36499.66677923396
2024-06-11,Los Angeles,Beverly Hills,Townhouse,1932757.8589218936,2215.83794011901,9102.526306007974,1,165,3.061436702132543,8.048674003121253,75079.51635516863,872.2469382476985,109230.31567209569
2024-11-14,Houston,The Heights,Townhouse,612253.1629261918,2276.8238145717805,2411.844870577088,1,55,3.235223548011887,9.295914387920533,176829.97261517076,268.90669317834016,28942.138446925055
2024-10-11,New York,Brooklyn,Townhouse,1305504.687691546,1455.8339932347587,6344.046376796603,0,52,3.759649526858699,2.689171260147836,202837.1159375097,896.7400773427527,76128.55652155924
2024-07-17,Houston,Downtown,Single Family,205811.4947211074,1737.6803991417903,995.7656375929896,1,161,3.166017952646777,1.422807389083709,217269.292392935,118.44036154332757,11949.187651115875
2024-07-23,Chicago,Lincoln Park,Apartment,291174.9622995203,1640.3766014343228,1493.007277349334,1,158,3.4569249314307484,4.456397090467885,225310.3770396663,177.50494736691618,17916.087328192007
2024-10-25,Los Angeles,Hollywood,Single Family,1289083.2579228366,2762.443981837658,5456.296687813233,1,176,3.589940036982916,3.1085642856127933,58930.46499578498,466.64593613416946,65475.5602537588
2024-10-03,Houston,River Oaks,Apartment,333717.9513492623,1882.7130244652567,1466.3291179841008,0,43,4.946054444480683,4.813644662086626,100950.26579044548,177.25375403086065,17595.94941580921
2024-06-18,Chicago,Wicker Park,Townhouse,553087.7458246293,1448.3336542448842,2623.651349287536,1,44,3.365369070665233,9.273587462014774,178874.34564451675,381.87868120277295,31483.81619145043
2024-08-16,Los Angeles,Hollywood,Single Family,1814994.6361387093,2071.099241196312,8924.784083956409,1,26,4.649806588608924,6.37080029976496,69018.90210199403,876.3436343544449,107097.4090074769
2024-12-28,Los Angeles,Santa Monica,Single Family,1636706.5639404291,1829.1794984667104,6778.251295758505,1,135,4.976639673082813,3.898917157306668,155138.75721326473,894.7763548150307,81339.01554910206
2024-10-28,Phoenix,Mesa,Apartment,314752.0776563514,2199.61566381631,1119.6211778609727,1,23,4.50893917301167,5.165319355423239,59475.14646870332,143.09412450275963,13435.454134331672
2024-09-07,Chicago,Wicker Park,Apartment,676467.7398681383,2199.888427647996,3918.83989130887,1,138,3.1634220898228627,7.272735141818189,95051.78266741832,307.50093112284867,47026.07869570644
2024-05-30,Chicago,River North,Condo,611522.3782147208,3183.422278227209,3488.8013312299795,0,154,4.657116822915052,6.098671264639711,147333.74276036015,192.09590332931472,41865.615974759756
2024-09-17,Chicago,River North,Townhouse,307376.6319644967,1941.5163125383804,1270.2109181300943,1,66,3.215254151229242,9.178204227229733,156060.25334521593,158.31782096264018,15242.531017561132
2024-01-20,Phoenix,Tempe,Townhouse,494687.6312917301,2812.397018395352,2499.447767073985,0,99,3.7223324289944033,7.934968750793824,116596.30178183068,175.89537609948835,29993.373204887816
2024-07-16,New York,Brooklyn,Apartment,1518590.061610605,2446.0367240369515,7286.353176263172,1,55,3.777896102496948,5.293383557186981,231963.3010307552,620.8369836346187,87436.23811515806
2024-08-23,Houston,The Heights,Apartment,635186.5092816574,1267.5857635035968,2189.383388257071,1,23,4.644904978384117,2.721134040895979,247488.33910872263,501.0994345076952,26272.600659084856
2024-08-02,Los Angeles,Beverly Hills,Townhouse,1007074.50920068,1518.3074826864645,3323.753273280997,1,169,4.459807208328732,9.30141836054564,78160.94347018181,663.287588768766,39885.039279371966
2024-11-21,Chicago,Lincoln Park,Single Family,401677.6518520332,2106.3990817367894,2344.270817017755,1,82,4.53040212454673,6.889115626598236,174025.0934643407,190.69399304942627,28131.249804213057
2024-09-19,New York,Manhattan,Condo,1406800.1161980932,1433.9036810819628,7315.748442792894,1,154,4.191332294166016,4.359382722828492,133110.93426906678,981.098057532415,87788.98131351473
2024-04-11,Chicago,River North,Townhouse,563529.3518783726,2282.925840533299,3043.876105780153,1,182,3.4968509855313106,6.3117353690337,159346.74066623504,246.84522899207724,36526.513269361836
